id,ita-IT,ger-DE,eng-GB
a941a1f3536f3fcdbd6964c75c1e748e,"Ente pubblico economico, azienda speciale e azienda pubblica di servizi",,
13600e6e4aaa9a7f5f50d28ca9423595,"Fondazione (esclusa fondazione bancaria)","Stiftung ( außer Bankstiftung)",
00abe219348fc08b3a118d87ec0f1bb0,"Fondazione bancaria",Bankstiftung,
a9a738b65053348944bc84ef463d8136,"Gruppo europeo di interesse economico","Europäische wirtschaftliche Interessenvereinigung",
5a5261427f0b81abcac9688e67130ceb,"Imprenditore individuale agricolo","Landwirtschaftlicher Einzelunternehmer",
55da3212cf3a6d036cdde753cffbcb13,"Imprenditore individuale non agricolo","Nicht-landwirtschaftlicher Einzelunternehmer",
5d39a1608b5ce56ec2f10e9e471900c0,"Imprenditore individuale, libero professionista e lavoratore autonomo",,
67099b89940de995bc8f651ed948c40d,"Impresa o ente privato costituito all'estero non altrimenti classificabile che svolge una attività economica in Italia","Unternehmen oder private Einrichtung mit Sitz im Ausland, die nicht anderweitig klassifizierbar ist und in Italien eine wirtschaftliche Tätigkeit ausübt",
cdf5ad08b62eda33ed0f93c2d6660b45,"Lavoratore autonomo","Selbstständige Person",
23fbe31b6542f27d29700fd6c014dee5,"Libero professionista",Freiberufler,
109dafd5433898c9ccf72057df9d3245,"Società Cooperativa",,
184314c9ed443b73637844917ffdb03f,"Società a responsabilità limitata","Gesellschaft mit beschränkter Haftung",
6a854faa3c56d2587c847b54a84117b0,"Società a responsabilità limitata con un unico socio","Gesellschaft mit beschränkter Haftung mit einem einzigen Gesellschafter",
9a8ed6cd822f4b32d5082015ffdf79b1,"Società consortile",Konsortialgesellschaft,
37d8593f3c4819d93186e844e18b8698,"Società cooperativa a mutualità prevalente","Genossenschaften auf überwiegender Gegenseitigkeit",
727a865c5d188bd2d86c5f41b4932e8e,"Società cooperativa diversa","Sonstige Genossenschaft",
f7fa11d8e3f7aaa24a62b91bd8d0bbb9,"Società cooperativa sociale",Sozialgenossenschaft,
9a410714423b785d5d77c1947519bced,"Società di capitali",,
c7efcdb8361104396dfc155c91221f25,"Società di fatto o irregolare / comunione ereditaria","Gesellschaft ""de facto"" / Erbengemeinschaft",
165d3950b03f2ba204b5b3540e121ad4,"Società di mutua assicurazione","Versicherungsgesellschaft auf Gegenseitigkeit",
3193c7853df6594617d0ed5ec620d669,"Società di mutuo soccorso",Gegenseitigkeitsgesellschaft,
14e9c7539c4df151e8175bdbf8614e09,"Società di persone",,
1669dcb1ed4614646af22173896844d3,"Società di fatto o irregolare, comunione ereditaria",,
a4be31ac1da2171939e8fe1be052d690,"Società in accomandita per azioni","Kommanditgesellschaft mit beschränkter Haftung",
e166f6191fa2152492cdfc180d232f41,"Società in accomandita semplice",Kommanditgesellschaft,
d8ad23c830f43593a282544ac43510c4,"Società in nome collettivo","Offene Handelsgesellschaft",
60912072a631df684a80f2fa2e0639a0,"Società per azioni",Aktiengesellschaft,
9a4a506f82767879f3f700c91b0d4ecb,"Società semplice","Einfache Gesellschaft",
7b87020da827e0c6d1f01eabf518479b,"Studio associato e società di professionisti","Assoziierte und professionelle Unternehmen",
239bc338697327793d0a04ea4bda3610,"Legal status pubblico","Rechtsstatus öffentlich",
b7dc884e8964b2e75294adc9099e24d0,"Agenzia dello Stato","Staatliche Agentur",
3fa395bb2a119084bb54830a72e32cb9,"Agenzia per il Turismo",,
6421225ba188138947051b4134681e0c,"Altro ente pubblico non economico nazionale","Andere nationale nicht-wirtschaftliche öffentliche Einrichtung",
a78f61e92ac3c739ea690537fda349d9,"Amministrazione dello Stato",,
10cf53f64ca36779a13f33762796d36a,"Archivio notarile","Notarielle Archive",
b85c18c498c3b80b88bef2ab236a0af7,"Autorità indipendente",,
cd8ed7f638c4ec744fc952a3d1367604,"Autorità indipendenti","Unabhängige Behörden",
b90988a2643bcdc64233eb923028d1a1,"Azienda o ente del servizio sanitario nazionale","Unternehmen oder Einrichtung des nationalen Gesundheitsdienstes",
231f8bdca97edc43ca2ca4b0e381dd51,"Camera di commercio",Handelskammer,
f9d53b984c511c9da53ed2e99590ca45,"Città metropolitana",Großstadt,
