id,ita-IT,ger-DE,eng-GB
420cb71e41eefdfdbf4a26adf64f18a5,Geotecnica,,
ed2dd72737e602e4c6b0f4fa5190dfda,Geotermia,,
6a6f4916dd60d734058401d91c78ba06,"Gestione della posizione lavorativa",,
aab2abb17348e8aa68a0c55838e46ff8,Graduatoria,,
dd17eb90f1b8f9ab4dee42d8b6cdbc0f,Graduatorie,,
e09b48f11b2ae11348acbb1fe123df78,"Graduatorie concorsuali",,
1fbbf9beb8745985a682637d23c3c511,"Graduatorie di Circolo",,
94bc325bc23823a6d0a85a46142b2fcc,"Graduatorie di istituto",,
17b27ad91b54a43f9abeda614db0866c,"Graduatorie provinciali per titoli",,
a205e4bfccbedbffdbb0c2860df5d86d,"Grandi derivazioni idroelettriche",,
7ad964df6301b478a5df5c50840c42e4,"Grotte e carsismo",,
5f9e990a54b9376a48dd7ed4c2feb33e,"Guide alpine",,
725cddc24aa335c4800aa626ec218f32,"Guide turistiche",,
f7b8883f25ee274ef9ec69ce621b01d4,Hobby,,
6595bb44f898e05b9778b0715bee57ea,Idrogeologia,,
50544aec0f79a43a2c3383adb325ead5,"Illuminazione pubblica",,
f811016a356bd3eeb8cd10da086c4715,"Impianti termici",,
b9ba084ea7f137eeebcea09998602977,Imposte,,
5d9d4d9e7109cde541c558ca16e01c56,"Incarichi dirigenziali",,
ea1d6cf0f9ccd211b4036cc90aac384e,"Informativa generale privacy",,
b019ac77cf8323c2b3924bffde9cdf02,"Iniziative nazionali",,
43ffc4b66c4e674e89272f09e7a91237,"Insegnamento della Religione Cattolica",,
bb45cb533707d0c6e6d81fea19666e47,Intercultura,,
fe090906ec72d44948ef2467f2a5972d,Iscrizioni,,
e10c826c1b6df1e9bc1d9c4c81e8cc52,"La scuola più sportiva",,
09033efd5c69e7d5427d15e95883a9bd,Ladino,,
197a2532ef413a730fddd3f6d196b21a,"Lavorare nella scuola",,
591077847a2aea6a17b06d121fb07355,"Legge provinciale 6/2023",,
923db16dfabc4713ce3b1cf419afcd64,"Libri scolastici",,
4a4920fca4fb56b18f6daca2a8129645,Lince,,
c24e41d3c6725435025361465cd44b63,"Lingue a scuola: Trentino trilingue",,
102b42d5c7a9d649bbc233bbcaa5dcf4,"Locali di spettacolo",,
f9fa28816b95ee474217d9f5daad67f9,"Luoghi storici del commercio",,
a2791a928e65a05a915e3be22341416f,Lupo,,
b9902356cbbd2c9a661e0c4eb22cb93a,"Maestro di sci/snowboard",,
f6ce8586e295fc298a946119a8992ddb,"Mansioni superiori",,
4045355c75a09d28e3da4ae492a4ff2f,"Mediatori interculturali",,
5c4e967cbca4ee467acd215fef177fbd,"Mensa scolastica",,
a038bc714a1b3876e18d354f62f2a53d,Miniere,,
b9eaf1204cd74311e1a392103362bec6,Mobilità,,
e5dc46ef1e75d337c926b8e198ac92f5,"Mobilità all'estero per studenti",,
9bb1f1f70b6a5d0d99c95f9075a2953d,Mocheno,,
828cbfb0799275bbb0c5268502b0c052,Modulistica,,
4d66b1b143be797a17d47f56538ee76d,"Modulistica (personale della scuola)",,
26c2821c8d67db5f689bdb32ca7b50a7,"Modulistica LABORFONDS",,
d621af690991ad714add818efccc60ff,"Modulistica PERMESSI E GIUSTIFICATIVI",,
56840237085c6f36b92122fba728107d,"Modulistica anticipo TFR",,
